Orientation,Parent,Fluor,PWM,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,fluorescence_change
top,rand_1,GFP,IclR,0.0044126082241197,"[67, 83]",1800,41,1.065707434052758,1.0,0.0044538796962081155,True,gain,-0.0657074340527579
top,rand_1,GFP,IHF,0.0013236068505516,"[38, 52]",1828,13,1.0630696586380173,1.0,0.001938994198489052,True,gain,-0.0630696586380172
top,rand_1,GFP,MraZ,0.0003601483823122,"[13, 21]",1782,59,1.0690303512902677,1.0,0.0007565160666574192,True,gain,-0.0690303512902676
top,rand_1,GFP,Nac,0.0011832562313518,"[46, 63]",203,1638,1.0094191522762952,1.0805816083023472,0.0017900897425240433,True,loss,-0.0711624560260519
top,rand_1,GFP,NsrR,0.0004119884702919,"[4, 19]",68,1773,1.2727272727272727,1.055299539170507,0.0008388758946981297,True,loss,0.2174277335567658
top,rand_1,GFP,PhoP,0.0001820954156144,"[76, 94]",210,1631,1.006771508213922,1.0860143357226202,0.0004495968793529991,True,loss,-0.079242827508698
top,rand_1,GFP,PutA,0.0002568046279944,"[9, 15]",180,1661,1.2647058823529411,1.0508474576271185,0.0005839543340697945,True,loss,0.2138584247258226
top,rand_1,GFP,PutA,0.0027104144838743,"[117, 123]",1824,17,1.0620262182958105,1.0,0.0031893622379056065,True,gain,-0.0620262182958104
bottom,rand_1,RFP,CsgD,0.0036753344542823,"[10, 24]",1762,79,1.0,1.0,0.003928648880144926,True,gain,0.0
bottom,rand_1,RFP,CsgD,0.0038880811242974,"[124, 138]",325,1516,1.0,1.0,0.004073677229745254,True,loss,0.0
bottom,rand_1,RFP,GadX,0.0048863118962474,"[66, 88]",301,1540,1.0,1.0,0.004888199231858156,True,loss,0.0
bottom,rand_1,RFP,GadX,0.0036549826173307,"[93, 115]",273,1568,1.0,1.0,0.003913904003920183,True,loss,0.0
bottom,rand_1,RFP,PutA,0.0017019732685733,"[137, 143]",1816,25,1.0,1.0,0.002326179823538178,True,gain,0.0
bottom,rand_1,RFP,SoxR,0.001426169254006,"[126, 146]",1726,115,1.0,1.0,0.002049821513804406,True,gain,0.0
top,rand_1,RFP,GadX,1.9407960811426473e-08,"[4, 26]",531,1310,1.0,1.0068433858967758,1.8686475279403185e-07,True,loss,-0.0068433858967758
top,rand_1,RFP,Lrp,4.7541192461490055e-05,"[63, 76]",193,1648,1.0,1.0,0.00015353078363498657,True,loss,0.0
top,rand_1,RFP,MraZ,0.0029649090517704,"[7, 15]",1785,56,1.0,1.0,0.0033976947570142357,True,gain,0.0
top,rand_1,RFP,PhoP,1.0998866078261312e-05,"[0, 18]",347,1494,1.0,1.0,4.6095571428311975e-05,True,loss,0.0
bottom,rand_1,GFP,AraC,0.0007412999454531,"[117, 137]",1780,61,1.0680621535336954,1.0,0.0012868410581256895,True,gain,-0.0680621535336953
bottom,rand_1,GFP,GadX,4.406533916874947e-16,"[93, 115]",273,1568,1.0,1.1071428571428572,1.4090028203340879e-14,True,loss,-0.1071428571428572
bottom,rand_1,GFP,MalT,0.004323297543158,"[74, 83]",104,1737,1.0013623978201631,1.0696055684454755,0.004394560689473791,True,loss,-0.0682431706253121
bottom,rand_1,GFP,PutA,3.519899628823408e-07,"[13, 19]",1796,45,1.0713343384847342,1.0,2.361797937474774e-06,True,gain,-0.0713343384847342
bottom,rand_1,GFP,RcdA,0.0009253686008859,"[99, 113]",1809,32,1.0647482014388487,1.0,0.0015130711340242938,True,gain,-0.0647482014388487
bottom,rand_2,RFP,Dan,7.944676610506571e-05,"[90, 101]",244,792,1.7961876832844572,1.4285714285714284,0.0002325052250984409,True,loss,0.3676162547130288
bottom,rand_2,RFP,Lrp,0.0008280024365959,"[111, 124]",1024,12,1.5505102040816323,1.0492307692307692,0.0013987383672171994,True,gain,-0.5012794348508633
bottom,rand_2,RFP,PutA,0.0029995149809779,"[35, 41]",1020,16,1.4999999999999998,3.303010471204189,0.0034223540972391016,True,gain,1.8030104712041888
bottom,rand_2,RFP,PutA,5.910986554293172e-05,"[141, 147]",1019,17,1.557522123893805,1.0,0.0001826903958904453,True,gain,-0.5575221238938051
bottom,rand_2,RFP,SoxR,0.0002790532640858,"[28, 48]",278,758,1.760918209876543,1.4459127730954917,0.0006219861910346145,True,loss,0.3150054367810515
top,rand_2,RFP,CpxR,9.288329235659433e-14,"[109, 129]",1001,35,1.48,3.983870967741935,2.227478955588697e-12,True,gain,2.503870967741935
